file_name,emiten_code,year,page_number,classification,extraction_method,raw_text_length,ocr_text_length,final_text_length,image_count,image_coverage_ratio,ocr_input_tokens,ocr_output_tokens,processing_time_ms,error
INAF_2022.pdf,INAF,2022,1,text,pymupdf,3258,0,3258,2,2.0159,0,0,4,
INAF_2022.pdf,INAF,2022,2,text,pymupdf,2974,0,2974,1,1.0163,0,0,2,
INAF_2022.pdf,INAF,2022,3,text,pymupdf,3850,0,3850,1,2.0326,0,0,5,
INAF_2022.pdf,INAF,2022,4,text,pymupdf,3163,0,3163,1,1.0163,0,0,3,
INAF_2022.pdf,INAF,2022,5,text,pymupdf,3696,0,3696,1,2.0326,0,0,4,
INAF_2022.pdf,INAF,2022,6,text,pymupdf,3586,0,3586,1,1.0163,0,0,3,
INAF_2024.pdf,INAF,2024,1,text,pymupdf,3819,0,3819,1,0.0183,0,0,4,
INAF_2024.pdf,INAF,2024,2,text,pymupdf,3355,0,3355,1,0.0183,0,0,3,
INAF_2024.pdf,INAF,2024,3,text,pymupdf,3367,0,3367,1,0.0183,0,0,3,
INAF_2024.pdf,INAF,2024,4,text,pymupdf,3025,0,3025,1,0.0183,0,0,2,
INAI_2022.pdf,INAI,2022,1,image,gemini_ocr,0,2861,2861,1,1.0003,1129,684,4860,
IMPC_2023.pdf,IMPC,2023,1,image,gemini_ocr,0,3951,3951,1,1.0,1129,830,6206,
IMPC_2024.pdf,IMPC,2024,1,image,gemini_ocr,91,3894,3894,1,1.0009,1129,819,6182,
IMPC_2022.pdf,IMPC,2022,1,image,gemini_ocr,0,3980,3980,12,1.0049,1129,782,6318,
INCF_2023.pdf,INCF,2023,1,text,pymupdf,4619,0,4619,1,1.0,0,0,3,
INAI_2024.pdf,INAI,2024,1,image,gemini_ocr,0,2541,2541,1,1.0004,1129,582,5106,
INAI_2024.pdf,INAI,2024,2,image,gemini_ocr,0,2485,2485,1,1.0002,1129,535,4450,
INAI_2023.pdf,INAI,2023,1,image,gemini_ocr,0,3497,3497,1,1.0003,1129,843,7510,
INAI_2023.pdf,INAI,2023,2,image,gemini_ocr,0,3256,3256,1,1.0001,1129,710,5147,
INCF_2022.pdf,INCF,2022,1,image,gemini_ocr,0,3671,3671,1,0.9976,1129,991,6679,
INCF_2022.pdf,INCF,2022,2,image,gemini_ocr,0,3517,3517,1,0.9976,1129,765,6280,
INCF_2024.pdf,INCF,2024,1,image,gemini_ocr,0,2936,2936,1,1.0,1129,662,5914,
INCF_2024.pdf,INCF,2024,2,image,gemini_ocr,0,3298,3298,1,1.0,1129,686,11269,
INCF_2024.pdf,INCF,2024,3,image,gemini_ocr,0,4027,4027,1,1.0,1129,769,6136,
INCO_2022.pdf,INCO,2022,1,text,pymupdf,4191,0,4191,1,0.0225,0,0,4,
INCO_2022.pdf,INCO,2022,2,text,pymupdf,3715,0,3715,1,0.0225,0,0,4,
INCO_2022.pdf,INCO,2022,3,text,pymupdf,3275,0,3275,1,0.0225,0,0,4,
INCO_2022.pdf,INCO,2022,4,text,pymupdf,3764,0,3764,1,0.0225,0,0,7,
INCO_2023.pdf,INCO,2023,1,text,pymupdf,4490,0,4490,1,0.018,0,0,4,
INCO_2023.pdf,INCO,2023,2,text,pymupdf,4484,0,4484,1,0.0233,0,0,4,
INCO_2023.pdf,INCO,2023,3,text,pymupdf,4020,0,4020,1,0.0233,0,0,4,
INCO_2023.pdf,INCO,2023,4,text,pymupdf,3129,0,3129,1,0.0233,0,0,3,
INCI_2022.pdf,INCI,2022,1,image,gemini_ocr,0,4522,4522,1,0.9843,1129,1016,5776,
INCI_2022.pdf,INCI,2022,2,image,gemini_ocr,0,4571,4571,1,0.9843,1129,884,5868,
INCI_2022.pdf,INCI,2022,3,image,gemini_ocr,0,4906,4906,1,0.9843,1129,1162,5368,
INCI_2023.pdf,INCI,2023,1,image,gemini_ocr,0,5966,5966,1,1.0,1129,1389,7142,
INCI_2023.pdf,INCI,2023,2,image,gemini_ocr,0,5283,5283,1,1.0,1129,1075,6069,
INCI_2023.pdf,INCI,2023,3,image,gemini_ocr,0,4926,4926,1,1.0,1129,1012,5896,
INCI_2024.pdf,INCI,2024,1,image,gemini_ocr,0,5960,5960,1,1.0,1129,1306,7060,
INCI_2024.pdf,INCI,2024,2,image,gemini_ocr,0,5290,5290,1,1.0,1129,1073,6649,
INCI_2024.pdf,INCI,2024,3,image,gemini_ocr,0,4694,4694,1,1.0,1129,864,6892,
INDF_2022.pdf,INDF,2022,1,image,gemini_ocr,0,4026,4026,1,0.9999,1129,892,5056,
INDF_2022.pdf,INDF,2022,2,image,gemini_ocr,0,3736,3736,1,0.9999,1129,880,4836,
INDO_2023.pdf,INDO,2023,1,image,gemini_ocr,0,3302,3302,1,1.0,1129,746,5641,
INDF_2023.pdf,INDF,2023,1,image,gemini_ocr,0,4047,4047,1,0.0372,1129,897,7820,
INDF_2023.pdf,INDF,2023,2,image,gemini_ocr,0,3670,3670,1,0.0372,1129,784,4719,
INCO_2024.pdf,INCO,2024,1,image,gemini_ocr,22,4347,4347,1,1.0009,1129,1062,6942,
INCO_2024.pdf,INCO,2024,2,image,gemini_ocr,24,4253,4253,2,2.0018,1129,944,6227,
INCO_2024.pdf,INCO,2024,3,image,gemini_ocr,22,4075,4075,2,2.0018,1129,835,5367,
INCO_2024.pdf,INCO,2024,4,image,gemini_ocr,24,4431,4431,2,2.0018,1129,954,5168,
INDF_2024.pdf,INDF,2024,1,image,gemini_ocr,0,4045,4045,1,0.0255,1129,799,4956,
INDF_2024.pdf,INDF,2024,2,image,gemini_ocr,0,3669,3669,1,0.0255,1129,827,12541,
INDO_2024.pdf,INDO,2024,1,image,gemini_ocr,0,4455,4455,1,1.0,1129,953,6790,
INDO_2024.pdf,INDO,2024,2,image,gemini_ocr,0,4491,4491,1,1.0,1129,960,6596,
INDR_2022.pdf,INDR,2022,1,image,gemini_ocr,0,4914,4914,1,1.0283,1117,1184,8022,
INDR_2022.pdf,INDR,2022,2,image,gemini_ocr,0,4860,4860,1,1.0285,1117,889,7115,
INDS_2023.pdf,INDS,2023,1,text,pymupdf,5180,0,5180,1,0.0041,0,0,4,
INDS_2023.pdf,INDS,2023,2,text,pymupdf,4463,0,4463,1,0.0041,0,0,4,
INDS_2024.pdf,INDS,2024,1,text,pymupdf,4305,0,4305,1,0.0043,0,0,4,
INDR_2023.pdf,INDR,2023,1,image,gemini_ocr,0,4777,4777,1,1.0,1129,1143,6425,
INDR_2023.pdf,INDR,2023,2,image,gemini_ocr,0,4840,4840,1,1.0,1129,893,6268,
INDX_2023.pdf,INDX,2023,1,image,gemini_ocr,0,5058,5058,1,1.0004,1129,1132,5653,
INDX_2022.pdf,INDX,2022,1,image,gemini_ocr,0,5082,5082,1,1.0015,1129,1135,7165,
INDY_2022.pdf,INDY,2022,1,text,pymupdf,5627,0,5627,0,0.0,0,0,5,
INDR_2024.pdf,INDR,2024,1,image,gemini_ocr,0,4765,4765,1,0.9984,1129,1049,11457,
INDR_2024.pdf,INDR,2024,2,image,gemini_ocr,0,4835,4835,1,0.9978,1129,893,6813,
INDS_2022.pdf,INDS,2022,1,image,gemini_ocr,44,5288,5288,4,4.0,1117,1086,5176,
INDS_2022.pdf,INDS,2022,2,image,gemini_ocr,44,5040,5040,4,4.0,1117,1027,9952,
INET_2023.pdf,INET,2023,1,text,pymupdf,4619,0,4619,1,1.0,0,0,3,
INET_2023.pdf,INET,2023,2,text,pymupdf,5676,0,5676,1,1.0,0,0,4,
INET_2023.pdf,INET,2023,3,text,pymupdf,4810,0,4810,1,1.0,0,0,3,
INDX_2024.pdf,INDX,2024,1,image,gemini_ocr,0,5082,5082,1,1.0015,1129,1137,5649,
INDY_2023.pdf,INDY,2023,1,image,gemini_ocr,0,5362,5362,2,2.0018,1129,1075,6137,
INDY_2024.pdf,INDY,2024,1,image,gemini_ocr,0,4344,4344,1,1.0013,1129,891,6042,
INKP_2024.pdf,INKP,2024,1,text,pymupdf,4432,0,4432,1,1.0,0,0,3,
INKP_2022.pdf,INKP,2022,1,image,gemini_ocr,0,4163,4163,1,1.0,1129,936,7657,
INKP_2023.pdf,INKP,2023,1,image,gemini_ocr,0,4107,4107,1,1.0,1129,865,7309,
INPC_2022.pdf,INPC,2022,1,text,pymupdf,4282,0,4282,1,1.0,0,0,3,
INPC_2022.pdf,INPC,2022,2,text,pymupdf,4201,0,4201,1,1.0,0,0,4,
INOV_2023.pdf,INOV,2023,1,image,gemini_ocr,0,3570,3570,1,1.0,1129,788,7164,
INPP_2022.pdf,INPP,2022,1,text,pymupdf,4743,0,4743,1,0.0045,0,0,4,
INOV_2024.pdf,INOV,2024,1,image,gemini_ocr,0,3525,3525,1,1.0,1129,768,4530,
INET_2024.pdf,INET,2024,1,image,gemini_ocr,0,4469,4469,1,1.0005,1129,978,7590,
INET_2024.pdf,INET,2024,2,image,gemini_ocr,0,5931,5931,1,1.0005,1129,1164,7047,
INPP_2024.pdf,INPP,2024,1,image,gemini_ocr,0,4287,4287,1,0.9735,1129,909,5033,
INRU_2023.pdf,INRU,2023,1,text,pymupdf,7218,0,7218,3,0.837,0,0,7,
INRU_2023.pdf,INRU,2023,2,text,pymupdf,10525,0,10525,2,0.5659,0,0,14,
INRU_2024.pdf,INRU,2024,1,text,pymupdf,7273,0,7273,2,0.5771,0,0,7,
INRU_2024.pdf,INRU,2024,2,text,pymupdf,10642,0,10642,2,0.5817,0,0,13,
INPC_2023.pdf,INPC,2023,1,image,gemini_ocr,0,5576,5576,1,1.0,1129,1300,7761,
INPC_2023.pdf,INPC,2023,2,image,gemini_ocr,0,4599,4599,1,1.0,1129,871,5257,
INPP_2023.pdf,INPP,2023,1,image,gemini_ocr,0,3690,3690,2,2.0018,1129,801,10427,
INTA_2022.pdf,INTA,2022,1,image,gemini_ocr,54,5452,5452,1,0.9771,1129,1197,6338,
INRU_2022.pdf,INRU,2022,1,image,gemini_ocr,47,7327,7327,2,0.7527,1129,1892,8844,
INRU_2022.pdf,INRU,2022,2,image,gemini_ocr,47,10090,10090,2,0.744,1129,1987,10241,
INTA_2023.pdf,INTA,2023,1,text,pymupdf,5005,0,5005,2,0.1231,0,0,18,
INTD_2024.pdf,INTD,2024,1,text,pymupdf,4784,0,4784,1,1.0043,0,0,4,
INTD_2024.pdf,INTD,2024,2,text,pymupdf,4119,0,4119,1,1.0,0,0,3,
INTD_2022.pdf,INTD,2022,1,image,gemini_ocr,0,4813,4813,1,1.0,1129,1032,8609,
INTA_2024.pdf,INTA,2024,1,image,gemini_ocr,0,3330,3330,3,1.5562,1129,877,5265,
INTA_2024.pdf,INTA,2024,2,image,gemini_ocr,0,3325,3325,3,1.4977,1129,849,4920,
INTD_2023.pdf,INTD,2023,1,image,gemini_ocr,0,4622,4622,1,1.0,1129,992,7592,
INTD_2023.pdf,INTD,2023,2,image,gemini_ocr,0,4001,4001,1,1.0,1129,866,5240,
IOTF_2023.pdf,IOTF,2023,1,text,pymupdf,4624,0,4624,1,1.0,0,0,3,
IOTF_2023.pdf,IOTF,2023,2,text,pymupdf,4520,0,4520,1,1.0,0,0,3,
IOTF_2024.pdf,IOTF,2024,1,text,pymupdf,4890,0,4890,1,1.0015,0,0,3,
IOTF_2024.pdf,IOTF,2024,2,text,pymupdf,6774,0,6774,1,1.0015,0,0,5,
INTP_2022.pdf,INTP,2022,1,image,gemini_ocr,60,4342,4342,28,2.0018,1129,1052,5398,
INTP_2022.pdf,INTP,2022,2,image,gemini_ocr,98,3935,3935,14,1.0009,1129,882,8047,
IPCC_2022.pdf,IPCC,2022,1,text,pymupdf,2527,0,2527,1,0.0254,0,0,4,
IPCC_2022.pdf,IPCC,2022,2,text,pymupdf,2635,0,2635,1,0.0254,0,0,4,
IPCC_2023.pdf,IPCC,2023,1,text,pymupdf,2518,0,2518,1,0.0254,0,0,2,
IPCC_2023.pdf,IPCC,2023,2,text,pymupdf,2541,0,2541,1,0.0254,0,0,2,
IPCC_2024.pdf,IPCC,2024,1,text,pymupdf,2519,0,2519,1,0.0201,0,0,2,
IPCC_2024.pdf,IPCC,2024,2,text,pymupdf,2543,0,2543,1,0.0206,0,0,2,
IPAC_2022.pdf,IPAC,2022,1,image,gemini_ocr,3,3997,3997,1,1.0,1129,822,6170,
IPCM_2023.pdf,IPCM,2023,1,text,pymupdf,2673,0,2673,5,2.0795,0,0,3,
IPCM_2023.pdf,IPCM,2023,2,text,pymupdf,3666,0,3666,4,2.0409,0,0,3,
IPCM_2024.pdf,IPCM,2024,1,text,pymupdf,2600,0,2600,2,0.4678,0,0,2,
IPCM_2024.pdf,IPCM,2024,2,text,pymupdf,3633,0,3633,2,0.4678,0,0,4,
INTP_2023.pdf,INTP,2023,1,image,gemini_ocr,0,4386,4386,2,2.0018,1129,1076,7802,
INTP_2023.pdf,INTP,2023,2,image,gemini_ocr,0,4305,4305,2,2.0018,1129,946,5396,
IPCM_2022.pdf,IPCM,2022,1,image,gemini_ocr,67,2636,2636,1,0.9999,1129,564,7217,
IPCM_2022.pdf,IPCM,2022,2,image,gemini_ocr,67,3656,3656,1,0.9999,1129,923,7099,
IPOL_2023.pdf,IPOL,2023,1,image,gemini_ocr,0,4272,4272,1,1.0009,1129,904,8171,
INTP_2024.pdf,INTP,2024,1,image,gemini_ocr,0,4331,4331,2,2.0024,1129,1047,8458,
INTP_2024.pdf,INTP,2024,2,image,gemini_ocr,0,3915,3915,1,1.0009,1129,814,11301,
IPOL_2024.pdf,IPOL,2024,1,image,gemini_ocr,0,3490,3490,1,1.0009,1129,765,4585,
IPOL_2022.pdf,IPOL,2022,1,image,gemini_ocr,0,3989,3989,2,2.0018,1129,972,9762,
IPOL_2022.pdf,IPOL,2022,2,image,gemini_ocr,0,4185,4185,1,1.0009,1129,844,4912,
IPPE_2023.pdf,IPPE,2023,1,image,gemini_ocr,0,3944,3944,1,1.0,1129,824,5390,
IPPE_2024.pdf,IPPE,2024,1,image,gemini_ocr,0,3923,3923,1,1.0,1129,824,5634,
IPPE_2022.pdf,IPPE,2022,1,image,gemini_ocr,0,4407,4407,1,0.9336,1129,1022,10883,
IRRA_2022.pdf,IRRA,2022,1,text,pymupdf,3556,0,3556,1,0.9966,0,0,3,
IPTV_2023.pdf,IPTV,2023,1,image,gemini_ocr,0,5757,5757,1,1.0,1129,1233,8689,
IPTV_2023.pdf,IPTV,2023,2,image,gemini_ocr,0,4516,4516,1,1.0,1129,988,5670,
IPTV_2022.pdf,IPTV,2022,1,image,gemini_ocr,0,5790,5790,1,1.0,1129,1247,8104,
IPTV_2022.pdf,IPTV,2022,2,image,gemini_ocr,0,3972,3972,1,1.0,1129,796,9534,
IRSX_2024.pdf,IRSX,2024,1,text,pymupdf,5153,0,5153,4,2.0279,0,0,4,
IRSX_2024.pdf,IRSX,2024,2,text,pymupdf,4444,0,4444,4,1.0301,0,0,3,
IPTV_2024.pdf,IPTV,2024,1,image,gemini_ocr,0,5788,5788,1,1.0,1129,1246,7078,
IPTV_2024.pdf,IPTV,2024,2,image,gemini_ocr,0,4283,4283,1,1.0,1129,848,5927,
IRSX_2022.pdf,IRSX,2022,1,image,gemini_ocr,0,4603,4603,8,1.5696,1129,1031,5496,
IRSX_2022.pdf,IRSX,2022,2,image,gemini_ocr,0,5194,5194,11,1.6133,1129,1146,6997,
IRSX_2023.pdf,IRSX,2023,1,image,gemini_ocr,69,4559,4559,1,0.9871,1129,1017,15762,
IRSX_2023.pdf,IRSX,2023,2,image,gemini_ocr,100,5254,5254,1,0.9904,1129,1077,6205,
ISAP_2024.pdf,ISAP,2024,1,image,gemini_ocr,112,5160,5160,2,1.6305,1129,1100,6277,
ISAP_2024.pdf,ISAP,2024,2,image,gemini_ocr,112,5116,5116,1,0.8025,1129,1093,6120,
ISAP_2024.pdf,ISAP,2024,3,image,gemini_ocr,112,4785,4785,1,0.7992,1129,1009,6566,
ISAP_2022.pdf,ISAP,2022,1,image,gemini_ocr,81,5200,5200,1,0.9009,1129,1207,7253,
ISAP_2022.pdf,ISAP,2022,2,image,gemini_ocr,81,4701,4701,1,0.9009,1129,1100,5189,
ISAP_2022.pdf,ISAP,2022,3,image,gemini_ocr,81,4664,4664,1,0.9009,1129,1059,9586,
ISAP_2023.pdf,ISAP,2023,1,image,gemini_ocr,77,4965,4965,1,0.7863,1129,1143,5527,
ISAP_2023.pdf,ISAP,2023,2,image,gemini_ocr,78,4645,4645,1,0.7863,1129,1097,6322,
ISAP_2023.pdf,ISAP,2023,3,image,gemini_ocr,77,4870,4870,1,0.7863,1129,1033,10745,
ISEA_2024.pdf,ISEA,2024,1,text,pymupdf,3210,0,3210,1,0.0098,0,0,3,
ISEA_2024.pdf,ISEA,2024,2,text,pymupdf,4109,0,4109,1,0.0098,0,0,4,
ISSP_2022.pdf,ISSP,2022,1,image,gemini_ocr,0,5568,5568,1,0.8479,1129,1302,7592,
ISSP_2022.pdf,ISSP,2022,2,image,gemini_ocr,0,3761,3761,1,0.8515,1129,760,13501,
ISSP_2023.pdf,ISSP,2023,1,text,pymupdf,4636,0,4636,1,1.0,0,0,3,
ISSP_2023.pdf,ISSP,2023,2,text,pymupdf,4293,0,4293,1,1.0,0,0,3,
ISSP_2023.pdf,ISSP,2023,3,text,pymupdf,4271,0,4271,1,1.0,0,0,3,
ISSP_2024.pdf,ISSP,2024,1,text,pymupdf,4695,0,4695,2,2.0,0,0,4,
ISSP_2024.pdf,ISSP,2024,2,text,pymupdf,4091,0,4091,2,2.0,0,0,3,
ISSP_2024.pdf,ISSP,2024,3,text,pymupdf,4052,0,4052,2,2.0,0,0,3,
ISAT_2024.pdf,ISAT,2024,1,image,gemini_ocr,0,4343,4343,2,2.001,1129,968,5643,
ISAT_2024.pdf,ISAT,2024,2,image,gemini_ocr,0,3437,3437,1,1.0009,1129,710,10791,
ISAT_2024.pdf,ISAT,2024,3,image,gemini_ocr,0,3602,3602,2,2.0018,1129,768,5445,
ISAT_2024.pdf,ISAT,2024,4,image,gemini_ocr,0,2939,2939,1,1.0009,1129,558,4077,
ITIC_2023.pdf,ITIC,2023,1,image,gemini_ocr,0,3460,3460,3,1.5383,1129,712,4214,
ITIC_2024.pdf,ITIC,2024,1,image,gemini_ocr,0,3453,3453,1,1.0,1129,711,6832,
ITMA_2022.pdf,ITMA,2022,1,image,gemini_ocr,0,4289,4289,2,2.0018,1129,861,7447,
ISAT_2023.pdf,ISAT,2023,1,image,gemini_ocr,165,4351,4351,1,1.0009,1129,969,6266,
ISAT_2023.pdf,ISAT,2023,2,image,gemini_ocr,163,4055,4055,2,2.0018,1129,816,5447,
ISAT_2023.pdf,ISAT,2023,3,image,gemini_ocr,165,4400,4400,1,1.0009,1129,967,5267,
ISAT_2023.pdf,ISAT,2023,4,image,gemini_ocr,163,3492,3492,1,1.0009,1129,751,4934,
ISAT_2023.pdf,ISAT,2023,5,image,gemini_ocr,165,3481,3481,1,1.0009,1129,766,6749,
ISAT_2023.pdf,ISAT,2023,6,image,gemini_ocr,163,3953,3953,1,1.0009,1129,866,6442,
ITMA_2024.pdf,ITMA,2024,1,image,gemini_ocr,0,3935,3935,1,1.0,1129,830,7217,
ITMG_2023.pdf,ITMG,2023,1,text,pymupdf,221,0,221,2,2.0018,0,0,0,
ITMG_2023.pdf,ITMG,2023,2,text,pymupdf,233,0,233,1,1.0009,0,0,0,
ITMG_2023.pdf,ITMG,2023,3,text,pymupdf,221,0,221,2,2.0018,0,0,0,
ITMA_2023.pdf,ITMA,2023,1,image,gemini_ocr,0,4226,4226,2,2.0018,1129,928,5878,
ITMA_2023.pdf,ITMA,2023,2,image,gemini_ocr,0,4202,4202,1,1.0009,1129,849,5734,
JARR_2022.pdf,JARR,2022,1,text,pymupdf,3952,0,3952,1,1.0,0,0,3,
ITMG_2022.pdf,ITMG,2022,1,image,gemini_ocr,54,4335,4335,1,1.0009,1129,1062,6803,
ITMG_2022.pdf,ITMG,2022,2,image,gemini_ocr,56,4184,4184,1,1.0009,1129,876,5938,
ISAT_2022.pdf,ISAT,2022,1,image,gemini_ocr,0,4230,4230,1,1.0009,1129,950,6872,
ISAT_2022.pdf,ISAT,2022,2,image,gemini_ocr,0,4063,4063,1,1.0009,1129,821,6058,
ISAT_2022.pdf,ISAT,2022,3,image,gemini_ocr,0,4888,4888,2,2.0018,1129,1001,5667,
ISAT_2022.pdf,ISAT,2022,4,image,gemini_ocr,0,3729,3729,1,1.0009,1129,772,6952,
ISAT_2022.pdf,ISAT,2022,5,image,gemini_ocr,0,4342,4342,2,2.0018,1129,885,23821,
ISAT_2022.pdf,ISAT,2022,6,image,gemini_ocr,0,4268,4268,1,1.0009,1129,921,5816,
ITMG_2024.pdf,ITMG,2024,1,image,gemini_ocr,0,4350,4350,3,2.0096,1129,1065,5313,
ITMG_2024.pdf,ITMG,2024,2,image,gemini_ocr,0,4057,4057,1,1.0009,1129,929,6113,
ITMG_2024.pdf,ITMG,2024,3,image,gemini_ocr,0,3741,3741,2,2.0018,1129,720,4786,
JARR_2023.pdf,JARR,2023,1,image,gemini_ocr,0,3936,3936,1,1.0,1129,806,4770,
JARR_2023.pdf,JARR,2023,2,image,gemini_ocr,0,3826,3826,1,1.0,1129,857,6170,
JARR_2023.pdf,JARR,2023,3,image,gemini_ocr,0,4232,4232,1,1.0,1129,829,5773,
JATI_2023.pdf,JATI,2023,1,text,pymupdf,4292,0,4292,4,2.0377,0,0,3,
JATI_2023.pdf,JATI,2023,2,text,pymupdf,4274,0,4274,4,2.1338,0,0,26,
JAST_2024.pdf,JAST,2024,1,text,pymupdf,4865,0,4865,1,1.0,0,0,3,
JAST_2024.pdf,JAST,2024,2,text,pymupdf,4272,0,4272,1,1.0,0,0,3,
JARR_2024.pdf,JARR,2024,1,image,gemini_ocr,0,4610,4610,1,1.0,1129,1025,7534,
JARR_2024.pdf,JARR,2024,2,image,gemini_ocr,0,3810,3810,1,1.0,1129,785,6644,
JAWA_2023.pdf,JAWA,2023,1,image,gemini_ocr,105,5365,5365,1,0.9022,1129,1180,6980,
JAWA_2023.pdf,JAWA,2023,2,image,gemini_ocr,103,5160,5160,1,0.8932,1129,1002,6623,
JAYA_2022.pdf,JAYA,2022,1,text,pymupdf,5465,0,5465,1,1.0,0,0,4,
JAYA_2022.pdf,JAYA,2022,2,text,pymupdf,4926,0,4926,1,1.0,0,0,5,
JAWA_2022.pdf,JAWA,2022,1,image,gemini_ocr,0,5075,5075,1,1.0,1129,1041,8421,
JAWA_2022.pdf,JAWA,2022,2,image,gemini_ocr,0,5086,5086,1,1.0,1129,990,5961,
JAYA_2024.pdf,JAYA,2024,1,text,pymupdf,5619,0,5619,1,1.0,0,0,4,
JAYA_2024.pdf,JAYA,2024,2,text,pymupdf,3182,0,3182,1,1.0,0,0,2,
JAYA_2024.pdf,JAYA,2024,3,text,pymupdf,3621,0,3621,1,1.0,0,0,2,
JAST_2023.pdf,JAST,2023,1,image,gemini_ocr,0,5285,5285,1,1.0009,1129,1161,9099,
JAST_2023.pdf,JAST,2023,2,image,gemini_ocr,0,4628,4628,1,1.0009,1129,1002,6615,
JAST_2023.pdf,JAST,2023,3,image,gemini_ocr,0,4621,4621,1,1.0009,1129,1066,6295,
JECC_2022.pdf,JECC,2022,1,image,gemini_ocr,0,410,410,1,0.0,1129,117,2468,
JECC_2022.pdf,JECC,2022,2,image,gemini_ocr,0,1520,1520,1,0.0,1129,287,2881,
JECC_2022.pdf,JECC,2022,3,image,gemini_ocr,0,22,22,1,0.0,1129,5,2120,
JAYA_2023.pdf,JAYA,2023,1,image,gemini_ocr,0,5432,5432,1,0.9975,1129,1165,6499,
JAYA_2023.pdf,JAYA,2023,2,image,gemini_ocr,0,4434,4434,1,0.9975,1129,952,5851,
JAYA_2023.pdf,JAYA,2023,3,image,gemini_ocr,0,3461,3461,1,0.9978,1129,832,5644,
JAYA_2023.pdf,JAYA,2023,4,image,gemini_ocr,0,3518,3518,1,0.9975,1129,731,5214,
JECC_2023.pdf,JECC,2023,1,image,gemini_ocr,0,4027,4027,1,0.9608,1129,757,7141,
JECC_2023.pdf,JECC,2023,2,image,gemini_ocr,0,4076,4076,1,0.9608,1129,877,5164,
JECC_2023.pdf,JECC,2023,3,image,gemini_ocr,0,4229,4229,1,0.9608,1129,805,5248,
JECC_2024.pdf,JECC,2024,1,image,gemini_ocr,0,4019,4019,1,0.953,1129,751,4207,
JECC_2024.pdf,JECC,2024,2,image,gemini_ocr,0,4479,4479,1,0.953,1129,848,8437,
JECC_2024.pdf,JECC,2024,3,image,gemini_ocr,0,4492,4492,1,0.953,1129,823,6903,
JAWA_2024.pdf,JAWA,2024,1,image,gemini_ocr,46,2514,2514,29,1.081,1129,599,4224,
JAWA_2024.pdf,JAWA,2024,2,image,gemini_ocr,48,2097,2097,29,1.0776,1129,584,4298,
JAWA_2024.pdf,JAWA,2024,3,image,gemini_ocr,46,2026,2026,29,1.0784,1129,556,4366,
JAWA_2024.pdf,JAWA,2024,4,image,gemini_ocr,48,2247,2247,29,1.0776,1129,533,3733,
JAWA_2024.pdf,JAWA,2024,5,image,gemini_ocr,46,2777,2777,29,1.0767,1129,667,7227,
JAWA_2024.pdf,JAWA,2024,6,image,gemini_ocr,48,2262,2262,29,1.0776,1129,522,6047,
JGLE_2023.pdf,JGLE,2023,1,image,gemini_ocr,0,3701,3701,1,1.0,1129,861,5002,
JGLE_2023.pdf,JGLE,2023,2,image,gemini_ocr,0,4218,4218,1,1.0,1129,797,6268,
JGLE_2024.pdf,JGLE,2024,1,image,gemini_ocr,0,3817,3817,1,1.0048,1129,861,5287,
JGLE_2024.pdf,JGLE,2024,2,image,gemini_ocr,0,4075,4075,2,2.0053,1129,774,4544,
JIHD_2022.pdf,JIHD,2022,1,image,gemini_ocr,0,4479,4479,18,1.6156,1129,903,6681,
JIHD_2023.pdf,JIHD,2023,1,image,gemini_ocr,0,4431,4431,16,1.6514,1129,892,4636,
JIHD_2024.pdf,JIHD,2024,1,image,gemini_ocr,0,4333,4333,1,1.0057,1129,870,5305,
JGLE_2022.pdf,JGLE,2022,1,image,gemini_ocr,53,7866,7866,2,1.0013,1129,1806,9455,
JGLE_2022.pdf,JGLE,2022,2,image,gemini_ocr,53,8626,8626,2,1.0013,1129,1609,11174,
JKON_2022.pdf,JKON,2022,1,image,gemini_ocr,0,4268,4268,1,1.0009,1129,820,5289,
JKON_2023.pdf,JKON,2023,1,image,gemini_ocr,0,4314,4314,1,1.0009,1129,839,6268,
JKSW_2024.pdf,JKSW,2024,1,text,pymupdf,5586,0,5586,1,1.0,0,0,4,
JKSW_2024.pdf,JKSW,2024,2,text,pymupdf,4831,0,4831,1,1.0,0,0,3,
JKON_2024.pdf,JKON,2024,1,image,gemini_ocr,0,4397,4397,2,1.0392,1129,881,7173,
JKSW_2022.pdf,JKSW,2022,1,image,gemini_ocr,0,4294,4294,1,1.0,1139,898,7021,
JKSW_2022.pdf,JKSW,2022,2,image,gemini_ocr,0,4124,4124,1,1.0,1139,861,6776,
JPFA_2022.pdf,JPFA,2022,1,text,pymupdf,4112,0,4112,1,0.0254,0,0,6,
JPFA_2022.pdf,JPFA,2022,2,text,pymupdf,3975,0,3975,1,0.1106,0,0,6,
JPFA_2022.pdf,JPFA,2022,3,text,pymupdf,3723,0,3723,1,0.1106,0,0,6,
JPFA_2023.pdf,JPFA,2023,1,text,pymupdf,4081,0,4081,1,0.0423,0,0,6,
JPFA_2023.pdf,JPFA,2023,2,text,pymupdf,3737,0,3737,1,0.0423,0,0,6,
JPFA_2023.pdf,JPFA,2023,3,text,pymupdf,3717,0,3717,1,0.0423,0,0,6,
JPFA_2024.pdf,JPFA,2024,1,text,pymupdf,4074,0,4074,1,0.0149,0,0,3,
JPFA_2024.pdf,JPFA,2024,2,text,pymupdf,3871,0,3871,1,0.0149,0,0,3,
